time,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,producer-service-4_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,producer-service-4_latency,average_latency
2021-05-05T20:48:11.000Z,19859,17987,19041,19547,76434,972.6408681202478,1054.327959081559,1155.933669450134,908.8862229498133,1022.9471799004384
2021-05-05T20:48:12.000Z,21912,14743,17842,16883,71380,949.9492059145674,1210.6040832937665,1099.9398049546014,1006.0895575430907,1066.6456629265065
2021-05-05T20:48:13.000Z,18833,20357,14737,13734,67661,910.7185259916105,1131.7632755317582,1168.4306168148198,1244.6537061307704,1113.8915311172395
2021-05-05T20:48:14.000Z,17372,21466,14114,14576,67528,1076.214310384527,833.8893599180099,1402.814227008644,1410.9207601536773,1180.9596643662144
2021-05-05T20:48:15.000Z,18405,14261,20834,18342,71842,1138.4500950828578,1170.4616085828484,1149.293798598445,1233.787972958238,1172.9983688055972
2021-05-05T20:48:16.000Z,15472,15066,16424,19687,66649,1079.9462254395037,1287.2523562989513,1095.5273380418898,914.0678620409407,1094.1984454553212
2021-05-05T20:48:17.000Z,20327,21702,17482,21048,80559,1036.625522703793,1032.1668970601788,1183.3231895664112,924.9425598631699,1044.2645422983883
2021-05-05T20:48:18.000Z,21558,14192,13771,16411,65932,922.1147601818351,1085.8763387824126,1261.5601626606638,1087.74255072817,1089.3234530882705
2021-05-05T20:48:19.000Z,17765,13375,19117,16755,67012,933.6591612721644,1359.2636261682244,1215.6895956478527,1183.615099970158,1173.0568707645998
2021-05-05T20:48:20.000Z,18043,18245,18255,14265,68808,1145.248129468492,1274.7954508084406,1110.5588605861408,1204.3092183666315,1183.7279148074263
2021-05-05T20:48:21.000Z,16401,19496,20582,17019,73498,1077.527345893543,991.0492921624949,1027.3041006704889,1222.0096950467125,1079.4726084433098
2021-05-05T20:48:22.000Z,18576,20154,19698,18154,76582,1166.4605943152455,1012.0856901855711,1040.5609706569194,1162.1578164591826,1095.3162679042298
2021-05-05T20:48:23.000Z,20928,21229,16787,19361,78305,941.268491972477,1016.5162278015922,1147.9052838505986,890.3843293218325,999.0185832366251
2021-05-05T20:48:24.000Z,18822,16513,16860,22463,74658,990.6269790670492,903.0544419548235,1166.5848161328588,974.8426746204871,1008.7772279438045
2021-05-05T20:48:25.000Z,16271,19945,15629,16113,67958,1043.374777210989,1095.0542491852596,1156.3925395098854,1029.4840191150004,1081.0763962552835
2021-05-05T20:48:26.000Z,12709,20103,13014,20563,66389,1325.6563852388072,971.86255782719,1419.0285077608728,1039.8975344064581,1189.111246308332
2021-05-05T20:48:27.000Z,16128,15614,20100,16721,68563,1354.8280009920634,1114.4182144229537,1295.3866666666668,1071.6707134740745,1209.0758988889397
2021-05-05T20:48:28.000Z,17958,20509,19036,20358,77861,1082.8912462412295,1059.0639719147691,995.219951670519,1047.5268690441105,1046.175509717657
2021-05-05T20:48:29.000Z,16658,16916,19289,18479,71342,1165.482170728779,960.811302908489,1072.7550935766499,950.301152659776,1037.3374299684235
2021-05-05T20:48:30.000Z,16514,21324,19508,18491,75837,1163.4392031003997,1006.1544738323016,1083.7013532909575,996.4905088962198,1062.4463847799695
2021-05-05T20:48:31.000Z,17718,19571,19492,18443,75224,1137.9904616773902,1024.2515456542844,972.9357685204186,1066.0716803123137,1050.3123640411018
2021-05-05T20:48:32.000Z,21934,16975,18305,14934,72148,972.749612473785,1021.120058910162,1090.4683419830646,1070.5806214008303,1038.7296586919606
2021-05-05T20:48:33.000Z,20072,18018,19012,19892,76994,874.7583200478279,1075.087246087246,1040.8215337681465,1169.6311582545748,1040.0745645394488
2021-05-05T20:48:34.000Z,21092,18573,16742,18313,74720,1018.8263796700171,1061.442362569321,1208.1723808386096,1023.4522470376236,1077.9733425288928
2021-05-05T20:48:35.000Z,21009,20347,14975,15473,71804,893.0736351087629,1011.9045068069003,1182.9796994991652,1213.3595941317133,1075.3293588866354
2021-05-05T20:48:36.000Z,18088,21059,20849,17118,77114,936.7591773551526,873.8545989838074,1201.1014916782578,1093.9988316392103,1026.428524914107
2021-05-05T20:48:37.000Z,18166,16740,17167,18511,70584,1073.903666189585,1057.7130227001194,1042.7715384167298,1063.224677218951,1059.4032261313462
2021-05-05T20:48:38.000Z,17514,18516,17846,18383,72259,1056.0251227589356,1190.0231151436594,1041.7602263812619,1059.7018440950878,1086.8775770947364
2021-05-05T20:48:39.000Z,17289,19973,16135.000000000002,19566,72963,1095.123488923593,967.9056726580884,1272.7163309575458,995.8017479300828,1082.8868101173275
2021-05-05T20:48:40.000Z,15533,17725,19657,20979,73894,1263.0750016094767,1097.1659802538786,1184.9295416391108,970.5718099051433,1128.935583351902
2021-05-05T20:48:41.000Z,17857,20236,15188,21391,74672,1126.533068264546,977.1721684127298,1038.1328680537267,912.1794212519284,1013.5043814957328
2021-05-05T20:48:42.000Z,21767,20378,18863,18808,79816,973.3370698764185,929.2114535283149,1221.2566399830355,969.5425882603148,1023.3369379120209
2021-05-05T20:48:43.000Z,14657,20406,18601,21278,74942,1119.9806918196084,1008.6039400176419,1044.668566206118,977.432277469687,1037.6713688782638
2021-05-05T20:48:44.000Z,17094,18714,16628,21124,73560,1154.4887094887094,957.0336646361013,1228.1296608130863,893.7278451050937,1058.3449700107476
2021-05-05T20:48:45.000Z,15262,14683,20455,14838,65238,1189.0581182020705,1157.2529455833276,1047.7750672207285,1077.9028844857799,1117.9972538729767
2021-05-05T20:48:46.000Z,19147,19292,19750,15660,73849,1091.9919569645376,1156.3438731080241,981.7856202531646,1205.2414431673053,1108.8407233732578
2021-05-05T20:48:47.000Z,18341,20253,18405,21541,78540,1042.9977645711792,973.072729965931,1007.9156207552296,1090.3797873822014,1028.5914756686352
