time,producer-service-1_throughput,total_throughput,producer-service-1_latency,average_latency
2021-05-05T19:20:31.000Z,45099,45099,291.4842679438568,291.4842679438568
2021-05-05T19:20:32.000Z,47606,47606,300.33018947191533,300.33018947191533
2021-05-05T19:20:33.000Z,47152,47152,298.57363420427555,298.57363420427555
2021-05-05T19:20:34.000Z,43656,43656,314.7991799523548,314.7991799523548
2021-05-05T19:20:35.000Z,49146,49146,286.82818540674725,286.82818540674725
2021-05-05T19:20:36.000Z,49987,49987,276.5121331546202,276.5121331546202
2021-05-05T19:20:37.000Z,45577,45577,301.6240208877285,301.6240208877285
2021-05-05T19:20:38.000Z,45832,45832,300.1301492407052,300.1301492407052
2021-05-05T19:20:39.000Z,45474,45474,309.53560276201785,309.53560276201785
2021-05-05T19:20:40.000Z,45841,45841,284.930651600096,284.930651600096
2021-05-05T19:20:41.000Z,48299,48299,281.4540466676329,281.4540466676329
2021-05-05T19:20:42.000Z,46758,46758,295.3692844005304,295.3692844005304
2021-05-05T19:20:43.000Z,46017,46017,299.8141339070344,299.8141339070344
2021-05-05T19:20:44.000Z,45884,45884,297.24498735942814,297.24498735942814
2021-05-05T19:20:45.000Z,44676,44676,306.52710627630046,306.52710627630046
2021-05-05T19:20:46.000Z,49954,49954,282.1073387516515,282.1073387516515
2021-05-05T19:20:47.000Z,47434,47434,292.76584306615507,292.76584306615507
2021-05-05T19:20:48.000Z,47255,47255,300.6000846471273,300.6000846471273
2021-05-05T19:20:49.000Z,48843,48843,275.71946850111584,275.71946850111584
2021-05-05T19:20:50.000Z,51718,51718,280.1098843729456,280.1098843729456
2021-05-05T19:20:51.000Z,48354,48354,275.566881747115,275.566881747115
2021-05-05T19:20:52.000Z,52333,52333,266.23919897578963,266.23919897578963
2021-05-05T19:20:53.000Z,46834,46834,294.124354101721,294.124354101721
2021-05-05T19:20:54.000Z,49447,49447,271.53590713288975,271.53590713288975
2021-05-05T19:20:55.000Z,49443,49443,281.7955827923063,281.7955827923063
2021-05-05T19:20:56.000Z,50988,50988,260.14972150309876,260.14972150309876
2021-05-05T19:20:57.000Z,50765,50765,273.49392297843,273.49392297843
2021-05-05T19:20:58.000Z,53834,53834,249.8101014228926,249.8101014228926
2021-05-05T19:20:59.000Z,52911,52911,268.1409347772675,268.1409347772675
2021-05-05T19:21:00.000Z,54304,54304,229.76086476134356,229.76086476134356
2021-05-05T19:21:01.000Z,52893,52893,242.56391204885335,242.56391204885335
2021-05-05T19:21:02.000Z,51866,51866,251.29564647360505,251.29564647360505
2021-05-05T19:21:03.000Z,46402,46402,288.98172492564976,288.98172492564976
2021-05-05T19:21:04.000Z,50096,50096,285.3569746087512,285.3569746087512
2021-05-05T19:21:05.000Z,49043,49043,279.9945557979732,279.9945557979732
2021-05-05T19:21:06.000Z,51055,51055,266.77050239937324,266.77050239937324
2021-05-05T19:21:07.000Z,47329,47329,286.60975300555685,286.60975300555685
2021-05-05T19:21:08.000Z,48611,48611,285.35537224085084,285.35537224085084
2021-05-05T19:21:09.000Z,53673,53673,260.2184524807631,260.2184524807631
2021-05-05T19:21:10.000Z,51625,51625,259.7853171912833,259.7853171912833
2021-05-05T19:21:11.000Z,49122,49122,278.79477627132445,278.79477627132445
2021-05-05T19:21:12.000Z,49072,49072,281.2964012063906,281.2964012063906
2021-05-05T19:21:13.000Z,53341,53341,260.1228885847659,260.1228885847659
2021-05-05T19:21:14.000Z,52320,52320,259.58535932721713,259.58535932721713
2021-05-05T19:21:15.000Z,50582,50582,259.1183622632557,259.1183622632557
2021-05-05T19:21:16.000Z,48619,48619,292.1879100763076,292.1879100763076
2021-05-05T19:21:17.000Z,49805,49805,259.4049392631262,259.4049392631262
2021-05-05T19:21:18.000Z,48727,48727,284.6222833336754,284.6222833336754
2021-05-05T19:21:19.000Z,49710,49710,280.89985918326295,280.89985918326295
2021-05-05T19:21:20.000Z,49640,49640,270.77969379532635,270.77969379532635
2021-05-05T19:21:21.000Z,50204,50204,282.71287148434385,282.71287148434385
2021-05-05T19:21:22.000Z,51771,51771,260.5681559174055,260.5681559174055
2021-05-05T19:21:23.000Z,53763,53763,257.05237802949983,257.05237802949983
2021-05-05T19:21:24.000Z,52929,52929,252.61467248578285,252.61467248578285
2021-05-05T19:21:25.000Z,52803,52803,263.5803836903206,263.5803836903206
2021-05-05T19:21:26.000Z,53199,53199,259.13611158104476,259.13611158104476
2021-05-05T19:21:27.000Z,52816,52816,256.4876173886701,256.4876173886701
2021-05-05T19:21:28.000Z,50412,50412,273.95477267317307,273.95477267317307
2021-05-05T19:21:29.000Z,52123,52123,255.97333231011262,255.97333231011262
2021-05-05T19:21:30.000Z,48705,48705,279.9839646853506,279.9839646853506
2021-05-05T19:21:31.000Z,45750,45750,275.8498797814208,275.8498797814208
2021-05-05T19:21:32.000Z,52841,52841,274.1898147272005,274.1898147272005
2021-05-05T19:21:33.000Z,52137,52137,249.76389128641847,249.76389128641847
2021-05-05T19:21:34.000Z,49127,49127,280.88041199340483,280.88041199340483
2021-05-05T19:21:35.000Z,47516,47516,290.21609563094535,290.21609563094535
2021-05-05T19:21:36.000Z,46629,46629,291.09687104591563,291.09687104591563
2021-05-05T19:21:37.000Z,47589,47589,289.9913005106222,289.9913005106222
2021-05-05T19:21:38.000Z,49587,49587,282.02948353399074,282.02948353399074
