time,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,producer-service-4_throughput,producer-service-5_throughput,producer-service-6_throughput,producer-service-7_throughput,producer-service-8_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,producer-service-4_latency,producer-service-5_latency,producer-service-6_latency,producer-service-7_latency,producer-service-8_latency,average_latency
2021-05-05T21:17:44.000Z,6489,7148,8307,11091,8970,9193,9871,10901,71970,1195.9238711665896,1476.8752098489088,1608.153364632238,1912.4000540979173,2226.2376811594204,1229.558033286196,1254.7470367743897,1627.8699201908082,1566.4706463945583
2021-05-05T21:17:45.000Z,10401,11301,10024,8060.000000000001,9000,11211,7185,6457,73639,1227.7859821171041,1585.2188301920185,1526.858938547486,1846.4586848635236,2259.024888888889,999.4269913477834,1550.4406402226862,1710.106860771256,1588.1652271188436
2021-05-05T21:17:46.000Z,6914,9576,9081,10385,10597,8728,8464,9077,72822,1239.748770610356,1148.297514619883,1450.7939654223103,2073.382089552239,2303.6984995753514,1106.3118698441797,1758.007443289225,1966.3216921890491,1630.8202306378241
2021-05-05T21:17:47.000Z,9590,8607,5761,12873,8900,8369,7569,5843,67512,1327.2191866527633,1484.168351341931,1761.3671237632354,1843.7481550532123,2312.856179775281,1278.3019476639981,1622.5214691504823,2030.6878315933595,1707.6087806242829
2021-05-05T21:17:48.000Z,7428,9305,6695,12514,9948,10523,11314,7454,75181,1121.6191437802909,1319.6785599140246,1967.895444361464,1561.9105801502317,2262.3485122637717,1177.583673857265,1471.3382534912498,2166.8439763885162,1631.152268025852
2021-05-05T21:17:49.000Z,9803,9083,11268,8664,11300,13294,8531,8634,80577,1222.0939508313782,1341.3077177144116,1655.7124600638977,1645.8926592797784,2343.959911504425,903.2423649766812,1395.5898487867776,2091.6347000231644,1574.9292016475642
2021-05-05T21:17:50.000Z,7733,9094,7873,9728,8831,9344,11209,8042,71854,1258.814431656537,1456.1917747965692,1321.4498920360727,1985.3999794407894,2228.8151964669914,946.5859375,1395.0947452939602,1743.344814722706,1541.962096489203
2021-05-05T21:17:51.000Z,8229,8357,5433,8282,8470,11742,9285,8580,68378,1301.8324219224694,1393.09142036616,1839.3706975888092,2256.2859212750545,2262.8582054309327,981.3251575540794,1342.702423263328,1747.4699300699301,1640.6170221838454
2021-05-05T21:17:52.000Z,9405,10313,7359,9418,11856,8477,7294,8083,72205,1161.8096757044125,1447.647532240861,2111.768310911809,2119.9919303461456,2344.8713731443995,1047.0010616963548,1585.1313408280778,1845.9150068044044,1708.0170289595583
2021-05-05T21:17:53.000Z,9419,10178,10755,9535,8695,7652,7548,10175,73957,1105.8943624588599,1274.5363529180586,1658.2883310088332,2172.1581541688515,2239.334445083381,1395.8902247778358,1744.7955749867515,1798.3515479115479,1673.6561241642648
2021-05-05T21:17:54.000Z,8519,11061,8560,7660,8967,9724,10151,8756,73398,1228.5294048597252,1197.430069613959,1425.8869158878504,2158.0533942558745,2275.7400468384076,1275.1038667215137,1687.5581716087086,1674.1217450890817,1615.3029518593903
2021-05-05T21:17:55.000Z,9775,11555,8682,10008,10016,7417,9477,9979,76909,1204.1379028132992,1207.711120726958,1580.6071181755356,2225.759392486011,2523.1090255591052,1253.9505190777943,1382.3261580668989,1691.1047199118148,1633.5882446021772
2021-05-05T21:17:56.000Z,12122,7799,8085.000000000001,7509,9495,9018,9291,12907,76226,889.4998350107243,1240.5237851006539,1685.4773036487322,2286.2896524170997,2519.5304897314377,1228.106121091151,1487.1172102034227,1362.5136747501356,1587.3822589941697
2021-05-05T21:17:57.000Z,11156,9623,9138,9696,7550,9251,8410,8170,72994,967.744621728218,1513.3693234957914,1601.36014445174,2262.164397689769,2423.744370860927,1223.5035131337154,1442.7197384066587,1324.3258261933904,1594.8664919950263
2021-05-05T21:17:58.000Z,8179,5962,12316,8167.999999999999,10665,7080,8791,10292,71453,1138.2272893996821,1507.6249580677625,1338.8583955829815,2164.231513222331,2484.1868729488983,1299.765536723164,1591.9125241724491,1652.9835794792073,1647.2238336995595
2021-05-05T21:17:59.000Z,8951,9811,12978,9385,7515,9379,9009,7154,74182,1300.1293710199977,1648.448985832229,1064.8669286484821,2153.7536494405967,2501.8656021290753,1437.7489071329567,1627.93894993895,1672.5496225887616,1675.9127520913812
2021-05-05T21:18:00.000Z,8897,6726,10718,7524,9826,9141,9714,10691,73237,1223.1936607845341,1486.3843294677372,1205.384026870685,2300.811004784689,2394.835334825972,1089.9044962257958,1386.4457484043648,1786.613787297727,1609.1965485826881
2021-05-05T21:18:01.000Z,11623,5465,13320,9792,9170,7920,7424,9040,73754,953.1451432504517,1868.7694419030192,1032.679129129129,2254.370404411765,2513.7803707742637,1253.8800505050506,1622.9771012931035,1626.2107300884957,1640.72654641941
2021-05-05T21:18:02.000Z,8682,8591,10394,9960,12333,8061.999999999999,9374,10665,78061,1135.2199953927666,1870.7124898149225,1181.3478930152012,2029.5245983935743,2223.036244222817,1312.2290994790374,1669.9812246639642,1487.4751992498827,1613.6908430290207
2021-05-05T21:18:03.000Z,8358,10813,10974,10847,10522,7740,7449,11069,77772,1304.242522134482,1431.466383057431,1307.5712593402588,1847.5241080483083,1929.3278844326173,1371.1594315245477,1560.65445026178,1406.7586051133796,1519.8380804891005
2021-05-05T21:18:04.000Z,8205,10306,9063,7693,8914,10477,8461,8809,71928,1213.0595978062158,1196.564040364836,1318.0834160873883,1910.4566489015988,2125.8221898137763,1164.100028634151,1692.637276917622,1581.9264388693382,1525.3312046743658
2021-05-05T21:18:05.000Z,9704,10801,9132,8529,9183,11325,8444,9771,76889,1124.3302761747732,1198.8941764651422,1441.3132939115198,2288.6904678156875,2384.812152891212,1051.9257395143488,1689.938062529607,1665.504554293317,1605.6760904494508
2021-05-05T21:18:06.000Z,8486,7377,6825,6923,9924,11313,6834,7418,65100,1213.0518501060571,1268.1263386200353,1617.181391941392,2472.894698829987,2450.484381297864,949.4706090338549,1693.3251390108283,1789.8247506066325,1681.7948949308313
2021-05-05T21:18:07.000Z,8842,8489,7405,7709,9025,7904,9912,9036,68322,1146.7718841890976,1602.6696901873013,1926.680351114112,2552.9766506680503,2280.4024376731304,1115.8154099190283,1606.202380952381,1910.4021691013722,1767.7401217255592
2021-05-05T21:18:08.000Z,8402,9993,9977,9838,8383,6928,9413,10312,73246,1224.113782432754,1322.9436605623937,1599.5114763957101,2462.881378328929,2338.3576285339377,1280.5959872979215,1412.5356421969616,1634.1689294026378,1659.3885606439057
2021-05-05T21:18:09.000Z,7894,11033,13955,8391,8606,8890,5932,8635,73336,1337.3242969343805,1283.3019124444847,1181.8369043353637,2186.2716005243715,2618.2591215431094,1478.656805399325,1711.2778152393796,1508.043659525188,1663.1215144932005
2021-05-05T21:18:10.000Z,8521,6578,8988,10037,6891,6275,12249,9025,68564,1263.1376598990728,1378.9893584676192,1177.0996884735202,1984.7381687755305,2807.4491365549266,1264.5451792828685,1567.9018695403706,1621.2452077562327,1633.1382835937675
2021-05-05T21:18:11.000Z,9338,11595,10744,12288,9730,9354,11504,7061,81614,1170.6187620475478,1398.3062526951271,1342.5752047654505,1864.2135416666667,2795.3593011305243,1354.5033140902287,1125.5657162726009,1847.1345418495964,1612.2845793147178
2021-05-05T21:18:12.000Z,11358,9534,10856,8221,8791,9872,8479,9085,76196,1043.4624053530551,1337.282987203692,1381.3582350773765,1933.3975185500547,2537.2951882607213,1175.7363249594814,1409.3115933482723,2033.873197578426,1606.464681291385
2021-05-05T21:18:13.000Z,7498,10805,9542,10276,10157,8829,9397,8902,75406,1139.546145638837,1330.2338732068488,1371.337350660239,2049.7456208641493,2455.5069410258934,1077.8025823989126,1601.1451527083111,1786.479330487531,1601.4746246238403
2021-05-05T21:18:14.000Z,6744,11122,9464,8568,9952,8034.000000000001,6916,11778,72578,1593.908362989324,1057.4727566984354,1464.3379120879122,2075.638772175537,2468.430365755627,1275.692432163306,1531.7365529207634,1514.0784513499746,1622.66195076761
2021-05-05T21:18:15.000Z,8193,9741,9091,10253,8406,4707,10879,9490,70760,1323.555352129867,1295.2130171440303,1429.2372676273237,2002.40710036087,2303.822031881989,1588.0178457616316,1656.3377148634984,1475.5665964172813,1634.2696157733112
2021-05-05T21:18:16.000Z,9211,11367,10811,8210,7553,8893,9313,7668,73026,1328.7006839648247,1265.3916600686198,1247.849135140135,2050.3494518879415,2442.4554481662917,1681.5624648600021,1343.29356813057,1746.233307250913,1638.2294649336625
2021-05-05T21:18:17.000Z,5593,11981,7980,12451,9420,10727,9704,8754,76610,1186.6400858215627,1048.9384024705785,1539.0214285714285,1973.9518914143441,2665.8799363057324,1118.5969982287686,1439.3501648804618,1711.566255426091,1585.4931453898707
