time,producer-service-10_throughput,producer-service-11_throughput,producer-service-12_throughput,producer-service-13_throughput,producer-service-14_throughput,producer-service-15_throughput,producer-service-16_throughput,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,producer-service-4_throughput,producer-service-5_throughput,producer-service-6_throughput,producer-service-7_throughput,producer-service-8_throughput,producer-service-9_throughput,total_throughput,producer-service-10_latency,producer-service-11_latency,producer-service-12_latency,producer-service-13_latency,producer-service-14_latency,producer-service-15_latency,producer-service-16_latency,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,producer-service-4_latency,producer-service-5_latency,producer-service-6_latency,producer-service-7_latency,producer-service-8_latency,producer-service-9_latency,average_latency
2021-05-05T22:15:19.000Z,10368,12171,9410,10752,11008,10624,11117,10624,12032,11174,9600,11776,9856,9885,11400,9600,171397,3594.7033179012346,3314.561416481801,3772.7637619553666,3633.9335007440477,3542.6458030523254,3503.754518072289,3434.1504002878473,3549.7673192771085,3431.5984873670213,3656.4710041166995,3563.5220833333333,3234.3982676630435,3627.9468344155844,3729.50794132524,3221.814385964912,3866.8909375,3542.401873716115
2021-05-05T22:15:20.000Z,9856,12672,10207,10896,11648,10654,10240,10880,11136,10586,9216,11392,10624,9443,11520,10112,171082,4077.1653814935066,3508.754734848485,3829.636817870089,4195.635646108663,3679.050995879121,3874.144358926225,4034.16806640625,3845.1466911764705,3961.649066091954,3630.5303230682034,4202.351236979167,3534.128599016854,3945.058829066265,4196.925341522821,3627.559982638889,3919.5300632911394,3878.839758399006
2021-05-05T22:15:21.000Z,9984,12279,10583,11043,10302,9826,10214,10112,11264,11264,9244,10496,10496,9088,9856,9654,165705,4021.036358173077,3470.5243097972148,3972.051308702636,3922.4807570406592,3723.400795961949,4039.521575412172,4045.1782847072645,4024.6609968354433,3830.7846235795455,3825.2496448863635,4047.447100822155,3722.6713033536585,3962.2888719512193,3851.012433978873,3977.162033279221,4183.302258131344,3913.6732910382993
2021-05-05T22:15:22.000Z,9923,12402,9641,10018,10708,10368,10266,10752,10899,10624,10212,11136,10112,10112,10368,10058,167599,3801.253250025194,3814.990646669892,4253.636655948553,4185.57157117189,4158.731322375794,4229.087770061728,3966.6426066627705,3805.922805059524,4332.983576474906,4306.323889307229,3789.824520172346,4017.053430316092,4300.0734770569625,3884.5097903481014,4221.444926697531,4075.8805925631336,4071.4956769319774
2021-05-05T22:15:23.000Z,11069,12951,9216,10539,10606,10496,11285,11728,11439,10276,10752,11904,10240,9984,12032,10240,174757,3936.821212394977,3812.108640259439,4035.3272569444443,4224.25429357624,3887.5289458796906,4016.041063262195,3879.7649091714666,3822.3722714870396,3951.9477227030334,4013.658913974309,3587.4781436011904,3682.8153561827958,4182.0638671875,3899.409154647436,3619.382064494681,3858.65634765625,3900.6018852139177
2021-05-05T22:15:24.000Z,10112,13133,10240,10496,11424,10549,10347,11051,10686,11228,10496,11136,9600,10624,11392,10368,172882,3745.2114319620255,3779.267874819158,3752.455859375,3563.3265053353657,3773.951593137255,3638.246279268177,3503.593988595728,3774.9953850330285,3808.063166760247,3650.334164588529,3490.012385670732,3806.1789691091954,3841.9773958333335,3516.039250753012,3668.0416081460676,3717.295524691358,3689.3119614423877
2021-05-05T22:15:25.000Z,11136,13363,9856,10787,11836,10827,11136,10629,11392,11520,10240,11904,10752,10858,11136,9856,177228,3387.622216235632,3842.7069520317295,3770.2539569805194,3497.40233614536,3520.5586346738764,3547.475570333426,3559.4232219827586,3729.1868473045442,3813.998595505618,3747.776822916667,3546.39912109375,3765.296454973118,3758.6326264880954,3203.1744335973476,3686.295168821839,3378.9905641233768,3609.6995952004786
2021-05-05T22:15:26.000Z,10240,12672,9574,10333,10365,9856,10368,10992,11264,10245,11090,11904,9728,10390,11008,9856,169885,3477.80439453125,3879.7851167929293,3556.4783789429707,3764.4253363011712,3635.7970091654606,3833.574878246753,3778.247010030864,3849.704694323144,3747.2737926136365,3792.1820400195215,3704.247700631199,3695.1818716397847,3671.0372121710525,3362.0595765158805,3668.3563771802324,3609.817877435065,3689.123329158807
2021-05-05T22:15:27.000Z,10830,13462,10650,10368,12075,10496,10880,11280,11392,10875,11054,12416,10224,11008,11648,10447,179105,3822.7096952908587,3858.925419699896,3541.373615023474,3973.7050540123455,3639.1408695652176,3718.7123666158536,4007.634650735294,3858.095035460993,3834.994382022472,3895.8116781609197,3625.874163198842,3886.8973904639174,3613.339593114241,3763.408066860465,4088.619162087912,3597.1303723557003,3795.3982196667757
2021-05-05T22:15:28.000Z,10802,14442,10379,10496,11989,11264,10368,10880,11392,11008,10368,11904,10514,10240,11493,10673,178212,3633.1463617848544,3382.391912477496,3444.7535408035455,3579.809737042683,3683.8503628325966,3659.3169389204545,3682.1156442901233,3620.2501838235294,3347.6863588483147,3567.3215843023254,3566.559124228395,3489.981014784946,3512.1776678714095,3557.4767578125,3705.5760897937876,3471.62578469034,3556.5024415192065
