time,producer-service-1_throughput,producer-service-2_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,average_latency
2021-05-05T19:56:21.000Z,30599,31647,62246,608.6086473414164,415.31355262742125,511.9610999844188
2021-05-05T19:56:22.000Z,26139,31837,57976,647.9083744596197,379.3749725162547,513.6416734879372
2021-05-05T19:56:23.000Z,28896,31934,60830,646.9078419158361,398.7107784806163,522.8093101982262
2021-05-05T19:56:24.000Z,32375.999999999996,28299,60675,579.7977514208055,438.381356231669,509.08955382623725
2021-05-05T19:56:25.000Z,27672,29875,57547,648.2885949696444,410.4905774058577,529.3895861877511
2021-05-05T19:56:26.000Z,28174,28430,56604,608.3408106765103,451.11829053816393,529.7295506073372
2021-05-05T19:56:27.000Z,27463,24960,52423,653.370097949969,475.54270833333334,564.4564031416512
2021-05-05T19:56:28.000Z,31614,27604,59218,597.3214082368571,485.2104767425011,541.2659424896791
2021-05-05T19:56:29.000Z,29539,27141,56680,605.2821693354548,469.7589256106997,537.5205474730773
2021-05-05T19:56:30.000Z,28183,23764,51947,601.1274527197246,520.8939572462548,561.0107049829896
2021-05-05T19:56:31.000Z,27450,29909,57359,684.3185428051002,442.16383028519846,563.2411865451493
2021-05-05T19:56:32.000Z,27427,30465,57892,638.901812082984,409.33806006893155,524.1199360759578
2021-05-05T19:56:33.000Z,29947,28846,58793,604.6105119043643,437.67697427719617,521.1437430907803
2021-05-05T19:56:34.000Z,29540,25725,55265,638.2960731211916,430.40007774538384,534.3480754332877
2021-05-05T19:56:35.000Z,28079,27865,55944,587.0640692332348,498.27740893594114,542.6707390845879
2021-05-05T19:56:36.000Z,30533,27640,58173,652.4398847148987,451.2484442836469,551.8441644992728
2021-05-05T19:56:37.000Z,29353,28542,57895,571.6940687493612,470.48595052904494,521.0900096392031
2021-05-05T19:56:38.000Z,27377,26230,53607,632.9413010921577,425.40609988562716,529.1737004888925
2021-05-05T19:56:39.000Z,29193,30000,59193,640.1106772171411,443.6100333333333,541.8603552752372
2021-05-05T19:56:40.000Z,29679,29487,59166,635.1854172984265,424.52223013531386,529.8538237168702
2021-05-05T19:56:41.000Z,27522,28884,56406,620.4875735775016,445.6552762775239,533.0714249275128
2021-05-05T19:56:42.000Z,33381,27576,60957,545.2701536802373,445.14258775747027,495.2063707188538
2021-05-05T19:56:43.000Z,31340,28461,59801,603.1161135928526,451.3696988861951,527.2429062395238
2021-05-05T19:56:44.000Z,29787,31130,60917,524.3003995031389,423.5223257308063,473.9113626169726
2021-05-05T19:56:45.000Z,26271,29116,55387,679.5532716683796,412.51442505838713,546.0338483633834
2021-05-05T19:56:46.000Z,29755,27812,57567,646.9190052092085,414.08819933841505,530.5036022738118
2021-05-05T19:56:47.000Z,29064,28244,57308,595.6921621249656,480.32884860501343,538.0105053649895
2021-05-05T19:56:48.000Z,34411,26751,61162,547.2079567580134,456.2175993420807,501.71277805004706
2021-05-05T19:56:49.000Z,27364,27940,55304,611.9295059201871,460.5775590551181,536.2535324876526
2021-05-05T19:56:50.000Z,28405,26053,54458,650.4438655166344,464.50201512301845,557.4729403198264
2021-05-05T19:56:51.000Z,26482,32192.999999999996,58675,647.3448002416736,425.3775044264281,536.3611523340509
2021-05-05T19:56:52.000Z,30017,30907,60924,624.7750941133357,390.0646779046818,507.4198860090088
2021-05-05T19:56:53.000Z,34493,26415,60908,575.1986200098571,429.37296990346397,502.28579495666054
2021-05-05T19:56:54.000Z,30851,26931,57782,566.3508800363036,501.56076640302996,533.9558232196667
2021-05-05T19:56:55.000Z,29708,30701,60409,602.4736098020735,417.4779323149083,509.97577105849086
2021-05-05T19:56:56.000Z,35549,27643,63192,514.4552870685533,462.0166045653511,488.23594581695215
