time,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,producer-service-4_throughput,producer-service-5_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,producer-service-4_latency,producer-service-5_latency,average_latency
2021-04-20T17:11:53.000Z,38912,42905,41984,39936,39936,203673,112283.55635793586,112267.8166880317,112264.48961509146,112255.45818309295,112252.15534855769,112264.69523854193
2021-04-20T17:11:54.000Z,40960,39609,38912,39936,40960,200377,113595.9884765625,113617.47075159686,113599.67732319079,113603.22876602564,113609.43081054688,113605.15922558452
2021-04-20T17:11:55.000Z,38912,41033,39936,40960,39936,200777,115840.27826891448,115907.24056247411,115740.57794971955,115862.9489501953,115707.48978365384,115811.70710299145
2021-04-20T17:11:56.000Z,37888,40190,41984,39936,40719,200717,120251.62214949324,120228.85075889525,120243.7285394436,120214.9019180689,120230.7413983644,120233.96895285307
2021-04-20T17:11:57.000Z,40960,40960,43255,38809,37639,201623,121589.62365722656,121590.85346679688,121598.6037914692,121605.95263985157,121605.18098249157,121598.04290756716
2021-04-20T17:11:58.000Z,39936,40960,38732,40039,39402,199069,122912.69108072917,122923.96975097657,122904.50392440359,122921.48782437124,122911.43977463072,122914.81847102226
2021-04-20T17:11:59.000Z,40960,40510,40820,39594,39936,201820,124402.38583984374,124418.24203900271,124431.78392944635,124437.71589129666,124407.25398137019,124419.47633619192
2021-04-20T17:12:00.000Z,37923,39362,40009,37206,37888,192388,125774.1806028004,125798.52677709467,125804.34894648704,125780.91283663925,125807.59828969595,125793.11349054347
2021-04-20T17:12:01.000Z,39866,40478,38571,39936,38912,197763,127542.40086790749,127489.12307920352,127518.7369267066,127503.15124198717,127492.32098067434,127509.14661929582
2021-04-20T17:12:02.000Z,40014,40418,40590,38912,38912,198846,132104.2030039486,132087.88559552675,132020.3118502094,132138.47651110197,132012.4250102796,132072.66039421325
2021-04-20T17:12:03.000Z,42965,41984,43719,38912,43954,211534,134107.77325730247,134120.9657012195,134104.58647270067,134130.13841488486,134111.56363470902,134115.0054961633
2021-04-20T17:12:04.000Z,39936,38912,39936,40960,41793,201537,135538.10126201922,135524.06142064146,135563.25330528847,135557.46335449218,135530.1644294499,135542.60875437825
2021-04-20T17:12:05.000Z,40960,39936,40960,38912,41229,201997,136932.87143554687,136911.805864383,136941.2380859375,136941.24370374178,136936.60408935457,136932.75263579274
2021-04-20T17:12:06.000Z,40960,41984,39936,37200,38709,198789,138324.66970214844,138338.4385718369,138318.73031850962,138348.09650537634,138307.30367614765,138327.4477548038
2021-04-20T17:12:07.000Z,39936,41984,40755,39090,39753,201518,139749.85178786056,139757.74187785824,139775.7404244878,139751.2113328217,139765.4443438231,139759.99795337027
2021-04-20T17:12:08.000Z,37888,41297,42189,40446,40322,202142,143561.0156513936,143352.82451509795,143403.48410723175,143524.55471492856,143487.92882297505,143465.96156232536
2021-04-20T17:12:09.000Z,36864,43695,41694,41984,40960,205197,146327.0987955729,146347.63380249456,146320.51100877824,146358.34158250762,146351.9724609375,146341.11153005817
